k,ruta,paso,sim
0,REM,0,0.9999998807907104
0,REM,1,0.6990064382553101
0,REM,2,0.399799108505249
0,REM,3,0.10895949602127075
0,REM,4,0.1940367966890335
0,REM,5,0.04962616786360741
0,REM,6,-0.04953158646821976
0,SWS,0,0.9999998807907104
0,SWS,1,0.7434442043304443
0,SWS,2,0.3940240144729614
0,SWS,3,0.23488622903823853
0,SWS,4,0.1929272562265396
0,SWS,5,0.02585768513381481
0,SWS,6,0.18386250734329224
1,REM,0,1.0000001192092896
1,REM,1,0.7190732359886169
1,REM,2,0.3392138183116913
1,REM,3,0.16912131011486053
1,REM,4,-0.05643877759575844
1,REM,5,0.13518603146076202
1,REM,6,0.0958394929766655
1,SWS,0,1.0000001192092896
1,SWS,1,0.6857714056968689
1,SWS,2,0.36895623803138733
1,SWS,3,0.22710634768009186
1,SWS,4,0.021764524281024933
1,SWS,5,0.20501090586185455
1,SWS,6,0.1180076077580452
2,REM,0,1.0000001192092896
2,REM,1,0.7206300497055054
2,REM,2,0.402645081281662
2,REM,3,0.32358792424201965
2,REM,4,0.2106124758720398
2,REM,5,0.2150728553533554
2,REM,6,0.2849271893501282
2,SWS,0,1.0000001192092896
2,SWS,1,0.7083879113197327
2,SWS,2,0.35340791940689087
2,SWS,3,0.3296378552913666
2,SWS,4,0.1464913785457611
2,SWS,5,0.24854227900505066
2,SWS,6,0.11715874820947647
3,REM,0,1.0000001192092896
3,REM,1,0.7309306263923645
3,REM,2,0.4564569294452667
3,REM,3,0.0995556116104126
3,REM,4,0.21830211579799652
3,REM,5,0.029915079474449158
3,REM,6,0.10110336542129517
3,SWS,0,1.0000001192092896
3,SWS,1,0.7534531354904175
3,SWS,2,0.39750728011131287
3,SWS,3,0.2513282001018524
3,SWS,4,-0.27017274498939514
3,SWS,5,-0.35963332653045654
3,SWS,6,-0.3420606553554535
4,REM,0,1.0
4,REM,1,0.7213631868362427
4,REM,2,0.4830039143562317
4,REM,3,0.08472755551338196
4,REM,4,0.18042628467082977
4,REM,5,-0.2766648828983307
4,REM,6,-0.2602246105670929
4,SWS,0,1.0
4,SWS,1,0.7345462441444397
4,SWS,2,0.3453507721424103
4,SWS,3,0.10635115206241608
4,SWS,4,-0.021579284220933914
4,SWS,5,-0.14181751012802124
4,SWS,6,-0.044196609407663345
5,REM,0,1.0
5,REM,1,0.6790528893470764
5,REM,2,0.4668078124523163
5,REM,3,0.42749258875846863
5,REM,4,0.10476388782262802
5,REM,5,0.14262807369232178
5,REM,6,0.12567488849163055
5,SWS,0,1.0
5,SWS,1,0.7230718731880188
5,SWS,2,0.3817296624183655
5,SWS,3,-0.006715124938637018
5,SWS,4,-0.06957656890153885
5,SWS,5,-0.04368114843964577
5,SWS,6,-0.14898787438869476
6,REM,0,0.9999998807907104
6,REM,1,0.669336199760437
6,REM,2,0.36181125044822693
6,REM,3,0.1995004564523697
6,REM,4,0.2910359799861908
6,REM,5,0.05094536393880844
6,REM,6,0.06930556893348694
6,SWS,0,0.9999998807907104
6,SWS,1,0.6978294253349304
6,SWS,2,0.3827289640903473
6,SWS,3,0.2997990846633911
6,SWS,4,0.24466462433338165
6,SWS,5,-0.058553799986839294
6,SWS,6,0.09016946703195572
7,REM,0,0.9999998807907104
7,REM,1,0.6761040091514587
7,REM,2,0.385683536529541
7,REM,3,0.32196542620658875
7,REM,4,0.13544528186321259
7,REM,5,0.18671758472919464
7,REM,6,0.04607932269573212
7,SWS,0,0.9999998807907104
7,SWS,1,0.7166272401809692
7,SWS,2,0.4262103736400604
7,SWS,3,0.217901811003685
7,SWS,4,-0.017671845853328705
7,SWS,5,0.03613100200891495
7,SWS,6,-0.06504425406455994
8,REM,0,0.9999998807907104
8,REM,1,0.7004171013832092
8,REM,2,0.40792274475097656
8,REM,3,0.3230914771556854
8,REM,4,0.0737842321395874
8,REM,5,0.31890326738357544
8,REM,6,0.41682082414627075
8,SWS,0,0.9999998807907104
8,SWS,1,0.7028476595878601
8,SWS,2,0.3940179646015167
8,SWS,3,0.2825157046318054
8,SWS,4,-0.016763154417276382
8,SWS,5,0.19557370245456696
8,SWS,6,0.044962234795093536
9,REM,0,1.0000001192092896
9,REM,1,0.7123847007751465
9,REM,2,0.42125222086906433
9,REM,3,0.1631963849067688
9,REM,4,-0.037772100418806076
9,REM,5,-0.030324775725603104
9,REM,6,-0.16249069571495056
9,SWS,0,1.0000001192092896
9,SWS,1,0.7184970378875732
9,SWS,2,0.4660341143608093
9,SWS,3,0.18513767421245575
9,SWS,4,-0.07820349186658859
9,SWS,5,-0.0472717322409153
9,SWS,6,-0.2273101508617401
10,REM,0,1.0000001192092896
10,REM,1,0.6827157139778137
10,REM,2,0.45491376519203186
10,REM,3,0.38098645210266113
10,REM,4,0.4159108102321625
10,REM,5,0.161138117313385
10,REM,6,0.13676521182060242
10,SWS,0,1.0000001192092896
10,SWS,1,0.6770433187484741
10,SWS,2,0.2953966557979584
10,SWS,3,0.1617894321680069
10,SWS,4,-0.23239439725875854
10,SWS,5,-0.1053733229637146
10,SWS,6,-0.029306327924132347
11,REM,0,1.0
11,REM,1,0.7347508072853088
11,REM,2,0.49021655321121216
11,REM,3,0.11687623709440231
11,REM,4,0.13764330744743347
11,REM,5,0.11983000487089157
11,REM,6,0.16892018914222717
11,SWS,0,1.0
11,SWS,1,0.758003830909729
11,SWS,2,0.3914291262626648
11,SWS,3,0.12002215534448624
11,SWS,4,0.013667130842804909
11,SWS,5,0.027671923860907555
11,SWS,6,-0.08605977147817612
12,REM,0,1.0
12,REM,1,0.7028282880783081
12,REM,2,0.4904489815235138
12,REM,3,0.16412489116191864
12,REM,4,0.26934531331062317
12,REM,5,0.30272552371025085
12,REM,6,0.09584388136863708
12,SWS,0,1.0
12,SWS,1,0.7095271348953247
12,SWS,2,0.30106571316719055
12,SWS,3,0.06357401609420776
