ruta,paso,token,sim_origen_real,sim_origen_surrogate
S2→REM,0,2-2-2-2-2-2,0.9999999403953552,1.0
S2→REM,1,2-2-2-2-2-4,0.5970284938812256,0.694946825504303
S2→REM,2,2-2-2-2-4-4,0.45209360122680664,0.4674120545387268
S2→REM,3,2-2-2-4-4-4,0.24594339728355408,0.028204625472426414
S2→REM,4,2-2-4-4-4-4,0.2181301862001419,0.07685799151659012
S2→REM,5,2-4-4-4-4-4,0.36484816670417786,0.11566806584596634
S2→REM,6,4-4-4-4-4-4,0.39175450801849365,0.20256276428699493
S2→SWS,0,2-2-2-2-2-2,0.9999999403953552,1.0
S2→SWS,1,2-2-2-2-2-3,0.5676360130310059,0.6865102648735046
S2→SWS,2,2-2-2-2-3-3,0.46926066279411316,0.4258131980895996
S2→SWS,3,2-2-2-3-3-3,0.1810116469860077,0.17933189868927002
S2→SWS,4,2-2-3-3-3-3,0.1256471872329712,0.11666630208492279
S2→SWS,5,2-3-3-3-3-3,0.03493618220090866,-0.08281651884317398
S2→SWS,6,3-3-3-3-3-3,0.13470542430877686,0.056535594165325165
