k,ruta,t_offset,media
0,REM,-15,0.21833502895691814
0,REM,-14,0.21961910937513623
0,REM,-13,0.21894752415450844
0,REM,-12,0.21906584030703494
0,REM,-11,0.21714010225100952
0,REM,-10,0.21722480751897977
0,REM,-9,0.21576089522352926
0,REM,-8,0.2152919822505542
0,REM,-7,0.2158013317320082
0,REM,-6,0.21608984842896461
0,REM,-5,0.21517226298650105
0,REM,-4,0.21604333817958832
0,REM,-3,0.21584990692425923
0,REM,-2,0.21546279262636125
0,REM,-1,0.21541885339788028
0,REM,0,0.21580814427750952
0,SWS,-15,0.18295045071673172
0,SWS,-14,0.18378494119542277
0,SWS,-13,0.18405438934968524
0,SWS,-12,0.18417112564202398
0,SWS,-11,0.1844550289105678
0,SWS,-10,0.18462391711876425
0,SWS,-9,0.18465458330334417
0,SWS,-8,0.18497958133934408
0,SWS,-7,0.18575790156235641
0,SWS,-6,0.18724338789993428
0,SWS,-5,0.18823814147443912
0,SWS,-4,0.1892206322063099
0,SWS,-3,0.19035462701950617
0,SWS,-2,0.19172972293806748
0,SWS,-1,0.1941917457519083
0,SWS,0,0.1981702979952403
1,REM,-15,0.21227317259592168
1,REM,-14,0.21201105117797853
1,REM,-13,0.21171665433290843
1,REM,-12,0.2116442601147451
1,REM,-11,0.21144462715495715
1,REM,-10,0.21174145489931107
1,REM,-9,0.2104183507186395
1,REM,-8,0.210149952343532
1,REM,-7,0.2107388237639079
1,REM,-6,0.21008268984801629
1,REM,-5,0.2103627936045329
1,REM,-4,0.21106102964595744
1,REM,-3,0.21112163903483425
1,REM,-2,0.21090284988437732
1,REM,-1,0.210330540713455
1,REM,0,0.21000289730727673
1,SWS,-15,0.19724255396383944
1,SWS,-14,0.19785088517217556
1,SWS,-13,0.19751085722742
1,SWS,-12,0.1976729764137417
1,SWS,-11,0.19736394091792728
1,SWS,-10,0.19733546306969416
1,SWS,-9,0.197192500363912
1,SWS,-8,0.19784423158426953
1,SWS,-7,0.1989572275130228
1,SWS,-6,0.20022028206503964
1,SWS,-5,0.20069239240380662
1,SWS,-4,0.20199103904041377
1,SWS,-3,0.202736956074955
1,SWS,-2,0.20390213837086316
1,SWS,-1,0.20557450172211175
1,SWS,0,0.20844386141647794
2,REM,-15,0.2127319881144692
2,REM,-14,0.21268104996000017
2,REM,-13,0.2127143345974587
2,REM,-12,0.21242548407692657
2,REM,-11,0.2122993767261505
2,REM,-10,0.21253129613140356
2,REM,-9,0.21348160174157885
2,REM,-8,0.2125047424009868
2,REM,-7,0.21341413046632493
2,REM,-6,0.2121451648280901
2,REM,-5,0.21291759411493938
2,REM,-4,0.21263319195101135
2,REM,-3,0.21269743377903857
2,REM,-2,0.21198378011737903
2,REM,-1,0.21226621632065093
2,REM,0,0.21204517321551547
2,SWS,-15,0.1868767565655931
2,SWS,-14,0.1892509874370363
2,SWS,-13,0.18859886544302476
2,SWS,-12,0.18858899059705436
2,SWS,-11,0.18865950437991516
2,SWS,-10,0.18848710717029973
2,SWS,-9,0.18869584966574285
2,SWS,-8,0.18852879420207563
2,SWS,-7,0.18982521615836812
2,SWS,-6,0.19169136435590325
2,SWS,-5,0.1923780755617132
2,SWS,-4,0.1937729624184695
2,SWS,-3,0.19532215207572876
2,SWS,-2,0.1973013595061403
2,SWS,-1,0.20060385174430204
2,SWS,0,0.20572777429033354
3,REM,-15,0.2008867110399639
3,REM,-14,0.20097471731049674
3,REM,-13,0.20128573960549123
3,REM,-12,0.20072435901353233
3,REM,-11,0.20045030320232565
3,REM,-10,0.20099102608535602
3,REM,-9,0.201203477051523
3,REM,-8,0.20188126393726893
3,REM,-7,0.2012534754143821
3,REM,-6,0.2022114034522982
3,REM,-5,0.20180238485336305
3,REM,-4,0.20176409341787038
3,REM,-3,0.20128212456243583
3,REM,-2,0.20072886455304845
3,REM,-1,0.20114423068506376
3,REM,0,0.20189135981833234
3,SWS,-15,0.1833787198378661
3,SWS,-14,0.1849398028392058
3,SWS,-13,0.18428030893329747
3,SWS,-12,0.18492135487031192
3,SWS,-11,0.18520643810431162
3,SWS,-10,0.18576648684454636
3,SWS,-9,0.18576493484294967
3,SWS,-8,0.1856341097195437
3,SWS,-7,0.18680678924609875
3,SWS,-6,0.18800830825127382
3,SWS,-5,0.18916761200522902
3,SWS,-4,0.19058571390130302
3,SWS,-3,0.1919483016661512
3,SWS,-2,0.19370419185766033
3,SWS,-1,0.19653960703778744
3,SWS,0,0.20073776840551677
4,REM,-15,0.1940411741242689
4,REM,-14,0.1954728777919497
4,REM,-13,0.19426033424364553
4,REM,-12,0.19376517322502637
4,REM,-11,0.1953911649232561
4,REM,-10,0.19645084084376044
4,REM,-9,0.19760914036521204
4,REM,-8,0.1962885476116623
4,REM,-7,0.19785052632528638
4,REM,-6,0.1978286342585788
4,REM,-5,0.19720241328080496
4,REM,-4,0.1969076244062499
4,REM,-3,0.19592508512089052
4,REM,-2,0.19593815659124827
4,REM,-1,0.1982459888926574
4,REM,0,0.2019959701334729
4,SWS,-15,0.17352477259168
4,SWS,-14,0.17976197549420544
4,SWS,-13,0.17894934006958954
4,SWS,-12,0.18124584411270916
4,SWS,-11,0.18235976302969284
4,SWS,-10,0.18249250864478903
4,SWS,-9,0.18219037502017243
4,SWS,-8,0.1829801991487005
4,SWS,-7,0.1879563500312553
4,SWS,-6,0.1938352590416842
4,SWS,-5,0.19763461459631942
4,SWS,-4,0.2033664500171488
4,SWS,-3,0.20855440850543783
4,SWS,-2,0.21692606491941802
4,SWS,-1,0.22772520895844545
4,SWS,0,0.24547809181884084
5,REM,-15,0.1960130496060147
5,REM,-14,0.19668847067015513
5,REM,-13,0.19588488098737356
5,REM,-12,0.19595827319120107
5,REM,-11,0.19529299945993858
5,REM,-10,0.19682784054590308
5,REM,-9,0.19655413346158135
5,REM,-8,0.19642524953399385
5,REM,-7,0.19763184326981742
5,REM,-6,0.1977212926482453
5,REM,-5,0.19767527997493745
5,REM,-4,0.1983393905194182
5,REM,-3,0.19791864594781255
5,REM,-2,0.19835782527309104
5,REM,-1,0.1985684742352792
5,REM,0,0.19998222249833977
5,SWS,-15,0.17874419104273073
5,SWS,-14,0.1830158839877854
5,SWS,-13,0.1822396430594862
5,SWS,-12,0.18332902155816555
5,SWS,-11,0.18383314503707748
5,SWS,-10,0.18433239310979843
5,SWS,-9,0.1840563550690152
5,SWS,-8,0.1843700148877065
5,SWS,-7,0.1874612438781508
5,SWS,-6,0.1913194156744901
