condicion,destino,pid,len_corrida,t_star_offset
REAL,SWS,SCO_SS_N2,12,
REAL,SWS,SCO_SS_N2,2,1.0
REAL,SWS,SCO_SS_N2,3,2.0
REAL,REM,SCO_SS_N2,6,
REAL,SWS,SCO_SS_N2,22,
REAL,SWS,SCO_SS_N2,1,0.0
REAL,SWS,SCO_SS_N2,5,4.0
REAL,SWS,SCO_SS_N2,1,0.0
REAL,SWS,SCO_SS_N2,10,9.0
REAL,SWS,SCO_SS_N2,3,
REAL,SWS,SCO_SS_N2,1,
REAL,SWS,SCO_SS_N2,1,0.0
REAL,SWS,SCO_SS_N2,10,
REAL,SWS,SCO_SS_N2,2,1.0
REAL,REM,SCO_SS_N2,1,
REAL,SWS,SCO_SS_N2,38,
REAL,SWS,SCO_SS_N2,12,
REAL,SWS,SCO_SS_N2,8,7.0
REAL,SWS,SCO_SS_N2,1,0.0
REAL,SWS,SCO_SS_N2,8,7.0
REAL,SWS,SCO_SS_N2,8,7.0
REAL,SWS,SCO_SS_N2,2,1.0
REAL,REM,SCO_SS_N2,11,
REAL,SWS,SCO_SS_N2,51,
REAL,REM,SCO_SS_N2,7,
REAL,SWS,SCO_SS_N2,35,
REAL,SWS,SCO_SS_N2,22,
REAL,SWS,SCO_SS_N2,3,2.0
REAL,SWS,SCO_SS_N2,1,0.0
REAL,SWS,SCO_SS_N2,4,3.0
REAL,SWS,SCO_AV_N1,15,
REAL,SWS,SCO_AV_N1,3,2.0
REAL,SWS,SCO_AV_N1,2,1.0
REAL,SWS,SCO_AV_N1,1,0.0
REAL,SWS,SCO_AV_N1,35,
REAL,SWS,SCO_AV_N1,3,2.0
REAL,SWS,SCO_AV_N1,4,3.0
REAL,SWS,SCO_AV_N1,1,0.0
REAL,SWS,SCO_AV_N1,57,
REAL,SWS,SCO_AV_N1,1,0.0
REAL,SWS,SCO_AV_N1,1,0.0
REAL,REM,SCO_AV_N1,18,10.0
REAL,REM,SCO_AV_N1,1,0.0
REAL,SWS,SCO_AV_N1,45,
REAL,SWS,SCO_AV_N1,4,3.0
REAL,SWS,SCO_AV_N1,6,5.0
REAL,SWS,SCO_AV_N1,1,0.0
REAL,SWS,SCO_AV_N1,5,4.0
REAL,SWS,SCO_AV_N1,1,0.0
REAL,REM,SCO_AV_N1,1,
REAL,REM,SCO_AV_N1,4,3.0
REAL,SWS,SCO_AV_N1,45,
REAL,SWS,SCO_AV_N1,7,6.0
REAL,SWS,SCO_AV_N1,1,0.0
REAL,SWS,CAP_S02_N1,8,
REAL,SWS,CAP_S02_N1,57,
REAL,SWS,CAP_S02_N1,5,4.0
REAL,REM,CAP_S02_N1,26,19.0
REAL,REM,CAP_S02_N1,2,
REAL,SWS,CAP_S02_N1,37,
REAL,SWS,CAP_S02_N1,33,
REAL,SWS,SCO_IN_N1,20,
REAL,SWS,SCO_IN_N1,15,
REAL,SWS,SCO_IN_N1,3,
REAL,SWS,SCO_IN_N1,1,
REAL,REM,SCO_IN_N1,3,2.0
REAL,SWS,SCO_IN_N1,10,
REAL,SWS,SCO_IN_N1,5,4.0
REAL,SWS,SCO_IN_N1,5,4.0
REAL,SWS,SCO_IN_N1,1,0.0
REAL,SWS,SCO_IN_N1,4,
REAL,SWS,SCO_IN_N1,1,
REAL,SWS,SCO_IN_N1,8,
REAL,SWS,SCO_IN_N1,2,1.0
REAL,SWS,SCO_IN_N1,5,4.0
REAL,SWS,SCO_IN_N1,30,
REAL,SWS,SCO_IN_N1,4,3.0
REAL,SWS,SCO_IN_N1,21,
REAL,REM,SCO_IN_N1,8,
REAL,SWS,SCO_IN_N1,39,
REAL,SWS,SCO_IN_N1,2,1.0
REAL,SWS,SCO_IN_N1,1,0.0
REAL,SWS,SCO_IN_N1,5,4.0
REAL,SWS,SCO_IN_N1,4,3.0
REAL,SWS,SCO_IN_N1,1,0.0
REAL,REM,SCO_IN_N1,4,
REAL,SWS,SCO_IN_N1,41,
REAL,REM,SCO_IN_N1,3,
REAL,REM,SCO_IN_N1,1,0.0
REAL,SWS,SCO_IN_N1,31,
REAL,SWS,SCO_IN_N1,5,4.0
REAL,SWS,SCO_IN_N1,1,0.0
REAL,SWS,SCO_IN_N1,7,6.0
REAL,SWS,EDF_S36_N2,21,
REAL,SWS,EDF_S36_N2,1,0.0
REAL,SWS,EDF_S36_N2,6,5.0
REAL,SWS,EDF_S36_N2,1,0.0
REAL,SWS,EDF_S36_N2,3,2.0
REAL,SWS,EDF_S36_N2,21,
REAL,SWS,EDF_S36_N2,1,0.0
