ciclo,destino,p
1,SWS,0.07464788732394366
1,REM,0.015774647887323943
1,S2 (persistencia),0.8859154929577465
2,SWS,0.048754875487548754
2,REM,0.013876387638763876
2,S2 (persistencia),0.9108160816081609
3,SWS,0.0334841628959276
3,REM,0.011840120663650075
3,S2 (persistencia),0.9309954751131222
4,SWS,0.022850701916179935
4,REM,0.010656829593196025
4,S2 (persistencia),0.9409775591761451
5,SWS,0.014880310545611387
5,REM,0.009920207030407592
5,S2 (persistencia),0.9512615915462583
6,SWS,0.00818452380952381
6,REM,0.011904761904761904
6,S2 (persistencia),0.9501488095238095
