dataset,token,frecuencia,porcentaje
CAP,2-2-2-2-2-2,5258,33.14
CAP,3-3-3-3-3-3,3330,20.99
CAP,4-4-4-4-4-4,3218,20.28
CAP,0-0-0-0-0-0,1129,7.12
CAP,2-2-3-3-3-3,102,0.64
CAP,2-3-3-3-3-3,101,0.64
CAP,2-2-2-3-3-3,100,0.63
CAP,2-2-2-2-3-3,98,0.62
CAP,2-2-2-2-2-3,96,0.61
CAP,1-2-2-2-2-2,87,0.55
EDF,2-2-2-2-2-2,26143,37.35
EDF,4-4-4-4-4-4,11059,15.8
EDF,3-3-3-3-3-3,5153,7.36
EDF,0-0-0-0-0-0,3056,4.37
EDF,1-1-1-1-1-1,1226,1.75
EDF,1-2-2-2-2-2,862,1.23
EDF,1-1-2-2-2-2,592,0.85
EDF,2-2-2-2-2-3,568,0.81
EDF,1-1-1-2-2-2,426,0.61
EDF,2-2-2-2-3-2,406,0.58
SCO,2-2-2-2-2-2,6035,22.94
SCO,3-3-3-3-3-3,3678,13.98
SCO,4-4-4-4-4-4,3343,12.71
SCO,0-0-0-0-0-0,519,1.97
SCO,5-5-5-5-5-5,368,1.4
SCO,1-2-2-2-2-2,287,1.09
SCO,2-2-2-2-2-3,266,1.01
SCO,2-2-2-2-2-5,215,0.82
SCO,1-1-1-1-1-1,197,0.75
SCO,2-2-2-2-3-2,180,0.68
