token,vecino,similitud
2-2-2-2-2-2,5-2-2-2-2-2,0.6027161478996277
2-2-2-2-2-2,3-2-2-2-2-2,0.5845600962638855
2-2-2-2-2-2,0-2-2-2-2-2,0.5548593401908875
2-2-2-2-2-2,1-2-2-2-2-2,0.5396366119384766
2-2-2-2-2-2,2-2-2-2-2-5,0.5358388423919678
4-4-4-4-4-4,1-4-4-4-4-4,0.6264700293540955
4-4-4-4-4-4,4-4-4-4-4-2,0.6133531332015991
4-4-4-4-4-4,5-4-4-4-4-4,0.5902620553970337
4-4-4-4-4-4,4-4-4-4-4-1,0.5847083330154419
4-4-4-4-4-4,2-4-4-4-4-4,0.5732165575027466
3-3-3-3-3-3,2-3-3-3-3-3,0.647315502166748
3-3-3-3-3-3,3-3-3-3-3-2,0.6179702281951904
3-3-3-3-3-3,5-3-3-3-3-3,0.54085373878479
3-3-3-3-3-3,3-3-3-3-3-5,0.5395110845565796
3-3-3-3-3-3,3-3-3-3-3-0,0.5347427129745483
0-0-0-0-0-0,0-0-0-0-0-1,0.666407585144043
0-0-0-0-0-0,5-0-0-0-0-0,0.6655486822128296
0-0-0-0-0-0,0-0-0-0-0-5,0.6451022028923035
0-0-0-0-0-0,4-0-0-0-0-0,0.629758358001709
0-0-0-0-0-0,2-0-0-0-0-0,0.6079438924789429
1-1-1-1-1-1,1-1-1-1-1-2,0.7569791674613953
1-1-1-1-1-1,1-1-1-1-1-4,0.7212761640548706
1-1-1-1-1-1,0-1-1-1-1-1,0.6764161586761475
1-1-1-1-1-1,1-1-1-1-1-0,0.6640374660491943
1-1-1-1-1-1,4-1-1-1-1-1,0.617347002029419
