N,beta,r2,n_unicos,n_total
1,1.1952813626662675,0.9798315839549596,5,110950
2,2.8360804554047236,0.8016043822874386,25,110823
3,2.5804523093570424,0.8860268744648093,102,110696
4,2.1642619975455157,0.9406348250712707,316,110569
5,1.8526511043704872,0.9663788947846315,793,110442
6,1.5968311021541914,0.9774793896283845,1617,110315
8,1.2502067042746163,0.9715186273561768,4393,110061
10,1.00878126675005,0.9518337043127475,8584,109807
15,0.668656734106813,0.8431026014954927,21711,109172
20,0.5120463451157423,0.7510289468318764,33771,108537
25,0.41784512753464065,0.6774586286183882,44121,107902
35,0.3044779414383293,0.5706156922134599,60305,106632
50,0.19978261184396623,0.42993677979851647,76524,104727
100,0.0591395577211515,0.17230944274272567,93451,98377
