dataset,N,beta,r2,n_unicos,n_total
CAP,1,1.4213277708674734,0.7567921083905803,5,15940
CAP,2,2.591690144837756,0.9423650634005681,20,15924
CAP,3,2.377451716058859,0.9563744505332497,61,15908
CAP,4,1.9624202078324302,0.9736418957716381,127,15892
CAP,5,1.698172049350661,0.9726639076793804,221,15876
CAP,6,1.503742376868209,0.9651819206112945,336,15860
CAP,8,1.2526387679833026,0.9422868005119237,609,15828
CAP,10,1.097723025744928,0.9136266146300833,916,15796
CAP,15,0.8656530117274883,0.8523686840044223,1762,15716
CAP,20,0.7276729508522644,0.7967298814113294,2655,15636
CAP,25,0.6330801830649614,0.7437024956041346,3549,15556
CAP,35,0.5145943953237111,0.6549992955925612,5213,15396
CAP,50,0.4178238305465854,0.584261537474651,7393,15156
CAP,100,0.18290816775927105,0.4299818588022323,12467,14356
EDF,1,1.2423691923455398,0.9857703808807969,5,70322
EDF,2,2.81431280100788,0.8052516232926654,25,70240
EDF,3,2.515131925184106,0.8969530342627283,98,70158
EDF,4,2.1179958218936012,0.9460356967084015,291,70076
EDF,5,1.8000529082116798,0.9668731965011084,675,69994
EDF,6,1.5590368213796506,0.9749824169247712,1303,69912
EDF,8,1.2268946302451404,0.9697752031273146,3323,69748
EDF,10,0.9905972175999309,0.952825878560246,6283,69584
EDF,15,0.6586681015255567,0.8380939951485257,15271,69174
EDF,20,0.5085622965649074,0.7467330031369128,23307,68764
EDF,25,0.41427231957175015,0.672909964452206,30273,68354
EDF,35,0.29558773276425304,0.5641470335403265,41135,67534
EDF,50,0.18191775011542813,0.40820325151039155,51501,66304
EDF,100,0.040810251624550896,0.12357085603374562,59860,62204
SCO,1,1.0680392977228372,0.957554620132923,5,24688
SCO,2,2.467018779202974,0.8229264318764633,23,24659
SCO,3,2.2155627194525724,0.8880131448387776,84,24630
SCO,4,1.8643858758014096,0.9384316644721798,245,24601
SCO,5,1.5797339065973268,0.9627214946612533,559,24572
SCO,6,1.350785376705226,0.9716422394765126,1053,24543
SCO,8,1.0251427355202287,0.9632193151668879,2467,24485
SCO,10,0.8106095082753433,0.9193197410180733,4271,24427
SCO,15,0.528152769398931,0.7817057614000538,8493,24282
SCO,20,0.38941811033270674,0.6603294100524425,11659,24137
SCO,25,0.31091248341745986,0.5706431673454168,13970,23992
SCO,35,0.22506670434868883,0.47092248145945376,17125,23702
SCO,50,0.1415990897389388,0.3685988849712188,20014,23267
SCO,100,0.012894811800850758,0.06600859677975614,21694,21817
